NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx clang notree rdtsc GradientAndRotationPyramids, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.8951123, -0.0029683113, 0.00000024621642, 13.672094
ethSIFT avx clang notree rdtsc Histogram, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, Histogram, 0.7609642, -0.003620863, 0.000000048139537, 2.5614655
ethSIFT avx clang notree rdtsc ExtremaRefinement, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, ExtremaRefinement, 0.9354839, -0.028905272, 0.00000005918056, 1.0807453
ethSIFT avx clang notree rdtsc KeypointDetection, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, KeypointDetection, 0.17660142, -0.00062794983, 0.000000014876666, 1.0536155
ethSIFT avx clang notree rdtsc ExtractDescriptor, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, ExtractDescriptor, 0.5387384, -0.00094783306, 0.044996917, 2.6122131
ethSIFT avx clang notree rdtsc MeasureFull, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, MeasureFull, 1.9950838, -0.0072129965, 0.1666349, 3.9261184
ethSIFT avx clang notree rdtsc MeasureFullNoAlloc, ethSIFT, avx, clang, notree, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 27954772.0, 77196.0, 2334859.5, 0.0
ethSIFT avx gcc avx rdtsc Downscale, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx gcc avx rdtsc Convolution, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, Convolution, 3.7070293, -0.002814293, 0.0000001484714, 3.372131
ethSIFT avx gcc avx rdtsc Octaves, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, Octaves, 89140.0, 234.251, 0.003570174, 0.0
ethSIFT avx gcc avx rdtsc GaussianKernelGeneration, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4672.0, 323.207, 0.00018711973, 0.0
ethSIFT avx gcc avx rdtsc GaussianPyramid, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, GaussianPyramid, 4.226866, -0.004609585, 0.00000028692097, 4.0669374
ethSIFT avx gcc avx rdtsc DOGPyramid, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, DOGPyramid, 1.3977319, -0.003428936, 0.00000009813135, 3.6348531
ethSIFT avx gcc avx rdtsc GradientAndRotationPyramids, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.9329827, -0.0025970936, 0.00000030263337, 13.672094
ethSIFT avx gcc avx rdtsc Histogram, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, Histogram, 0.85482705, -0.0018325448, 0.00000006583278, 2.5614655
ethSIFT avx gcc avx rdtsc ExtremaRefinement, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, ExtremaRefinement, 0.37991267, -0.07018399, 0.000000029259237, 1.0807453
ethSIFT avx gcc avx rdtsc KeypointDetection, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, KeypointDetection, 0.17277232, -0.00032775104, 0.000000019280728, 1.0536155
ethSIFT avx gcc avx rdtsc ExtractDescriptor, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, ExtractDescriptor, 0.7137005, -0.00063449144, 0.061110813, 2.6122131
ethSIFT avx gcc avx rdtsc MeasureFull, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, MeasureFull, 2.2276697, -0.0073497295, 0.19074488, 3.9261184
ethSIFT avx gcc avx rdtsc MeasureFullNoAlloc, ethSIFT, avx, gcc, avx, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 25007340.0, 45560.3, 2141260.8, 0.0
ethSIFT avx gcc fastmath rdtsc Downscale, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx gcc fastmath rdtsc Convolution, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, Convolution, 3.7198722, -0.003011465, 0.00000013232852, 3.372131
ethSIFT avx gcc fastmath rdtsc Octaves, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, Octaves, 107698.0, 504.084, 0.0038311845, 0.0
ethSIFT avx gcc fastmath rdtsc GaussianKernelGeneration, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4804.0, 281.694, 0.00017089464, 0.0
ethSIFT avx gcc fastmath rdtsc GaussianPyramid, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, GaussianPyramid, 4.31546, -0.008367538, 0.00000023862262, 4.0669374
ethSIFT avx gcc fastmath rdtsc DOGPyramid, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, DOGPyramid, 1.3629665, -0.007304549, 0.000000077511366, 3.6348531
ethSIFT avx gcc fastmath rdtsc GradientAndRotationPyramids, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.897377, -0.0025224686, 0.00000023873565, 13.672094
ethSIFT avx gcc fastmath rdtsc Histogram, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, Histogram, 0.7743232, -0.0013162494, 0.000000047466973, 2.5614655
ethSIFT avx gcc fastmath rdtsc ExtremaRefinement, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, ExtremaRefinement, 0.95604396, -0.01532644, 0.000000058607327, 1.0807453
ethSIFT avx gcc fastmath rdtsc KeypointDetection, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, KeypointDetection, 0.15403302, -0.0006698817, 0.0000000130539455, 1.0536155
ethSIFT avx gcc fastmath rdtsc ExtractDescriptor, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, ExtractDescriptor, 0.54199404, -0.00048959255, 0.0451579, 2.6122131
ethSIFT avx gcc fastmath rdtsc MeasureFull, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, MeasureFull, 1.9744619, -0.0016099215, 0.16450836, 3.9261184
ethSIFT avx gcc fastmath rdtsc MeasureFullNoAlloc, ethSIFT, avx, gcc, fastmath, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 28137460.0, 12937.2, 2344359.0, 0.0
ethSIFT avx gcc full rdtsc Downscale, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx gcc full rdtsc Convolution, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, Convolution, 3.6985486, -0.007745981, 0.00000014689552, 3.372131
ethSIFT avx gcc full rdtsc Octaves, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, Octaves, 88636.0, 163.086, 0.0035203623, 0.0
ethSIFT avx gcc full rdtsc GaussianKernelGeneration, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4784.0, 299.485, 0.00019000647, 0.0
ethSIFT avx gcc full rdtsc GaussianPyramid, ethSIFT, avx, gcc, full, rdtsc, auto-240p, 240, GaussianPyramid, 4.1949964, -0.109604836, 0.0000002822221, 4.0669374
